R, G, B
5083, 6136, 6728
5044, 6108, 6696
5020, 6094, 6676
5044, 6111, 6699
5075, 6144, 6736
5020, 6079, 6688
5023, 6082, 6696
5040, 6103, 6735
5012, 6063, 6694
5131, 6155, 6733
5183, 6170, 6682
5143, 6084, 6524
5224, 6138, 6524
5297, 6190, 6571
5160, 6054, 6450
5113, 6003, 6416
5127, 6015, 6416
5109, 5990, 6372
5114, 5998, 6366
5176, 6066, 6426
5231, 6118, 6475
5297, 6178, 6527
5379, 6264, 6611
5452, 6350, 6685
5478, 6380, 6707
5503, 6401, 6728
5479, 6390, 6708
5461, 6368, 6679
5514, 6426, 6734
5523, 6448, 6752
5494, 6416, 6726
5465, 6377, 6690
5409, 6314, 6627
5367, 6267, 6587
5333, 6230, 6554
5263, 6166, 6490
5241, 6148, 6474
5218, 6124, 6472
5178, 6098, 6477
5193, 6133, 6513
5255, 6212, 6572
5298, 6263, 6602
5311, 6279, 6614
5347, 6316, 6648
5411, 6375, 6703
5456, 6429, 6746
5464, 6438, 6761
5408, 6380, 6709
5352, 6323, 6654
5349, 6325, 6658
5313, 6284, 6642
5289, 6261, 6624
5258, 6234, 6593
5252, 6240, 6596
5237, 6218, 6571
5260, 6225, 6565
5297, 6256, 6587
5345, 6300, 6631
5389, 6347, 6678
5395, 6351, 6696
5392, 6341, 6699
5442, 6406, 6763
5467, 6439, 6803
5478, 6450, 6817
5487, 6462, 6865
5480, 6457, 6929
5486, 6460, 6980
5413, 6376, 6938
5431, 6380, 6936
5489, 6442, 6964
5496, 6474, 7024
5445, 6439, 7041
5481, 6483, 7107
5517, 6526, 7119
5468, 6468, 7007
5435, 6436, 6933
5482, 6487, 6950
5530, 6538, 6979
5573, 6592, 7021
5679, 6703, 7123
5729, 6755, 7169
5715, 6732, 7138
5670, 6675, 7078
5681, 6681, 7083
5715, 6713, 7113
5725, 6714, 7125
5746, 6746, 7159
5721, 6728, 7140
5673, 6682, 7106
5679, 6693, 7120
5665, 6675, 7109
5638, 6648, 7085
5658, 6668, 7106
5684, 6698, 7146
5638, 6643, 7091
5595, 6572, 7015
5655, 6607, 7042
5721, 6672, 7107
5776, 6734, 7188
5763, 6724, 7199
5733, 6685, 7152
5752, 6691, 7131
5850, 6788, 7212
5855, 6804, 7230
5803, 6773, 7217
5854, 6848, 7310
5854, 6851, 7304
5860, 6848, 7281
5891, 6866, 7273
5907, 6875, 7299
5909, 6925, 7389
5898, 6957, 7451
5890, 6949, 7443
5866, 6931, 7413
5789, 6850, 7351
5778, 6796, 7322
5833, 6754, 7296
5909, 6744, 7344
6008, 6811, 7434
6083, 6837, 7492
6117, 6834, 7520
6107, 6791, 7488
6079, 6746, 7437
6014, 6669, 7359
5986, 6629, 7321
5977, 6617, 7296
5972, 6599, 7281
5981, 6575, 7259
5980, 6579, 7271
5958, 6608, 7293
5964, 6653, 7323
6004, 6676, 7338
6017, 6670, 7319
6037, 6696, 7338
6107, 6784, 7425
6172, 6866, 7510
6211, 6935, 7571
6172, 6921, 7550
6091, 6864, 7483
6037, 6805, 7422
6002, 6757, 7364
6014, 6765, 7376
6081, 6834, 7414
6124, 6919, 7455
6111, 6912, 7447
6119, 6891, 7423
6180, 6950, 7494
6165, 6958, 7495
6157, 6925, 7459
6224, 6927, 7460
6220, 6899, 7417
6115, 6787, 7288
6112, 6778, 7273
6199, 6863, 7353
6240, 6906, 7390
6206, 6896, 7361
6173, 6853, 7304
6142, 6838, 7280
6083, 6789, 7231
6075, 6786, 7233
6109, 6841, 7294
6144, 6886, 7343
6227, 6989, 7458
6242, 7002, 7477
6209, 6959, 7432
6177, 6933, 7406
