R, G, B
784, 802, 777
752, 771, 753
725, 748, 734
693, 720, 704
660, 686, 663
704, 731, 707
740, 767, 743
753, 778, 753
774, 796, 772
744, 764, 745
708, 734, 718
686, 710, 695
729, 748, 725
746, 763, 739
759, 779, 755
714, 734, 712
692, 717, 690
693, 718, 689
728, 753, 722
728, 749, 722
710, 726, 708
717, 732, 718
700, 717, 701
707, 727, 713
697, 719, 708
665, 686, 677
686, 703, 692
671, 684, 668
649, 665, 641
697, 713, 680
761, 779, 742
771, 796, 766
798, 817, 791
754, 771, 755
713, 731, 719
727, 747, 736
735, 757, 746
710, 736, 722
676, 697, 681
629, 646, 632
641, 657, 641
624, 646, 630
660, 685, 664
708, 736, 716
687, 712, 693
671, 690, 667
725, 738, 720
746, 762, 742
725, 745, 720
716, 734, 709
663, 680, 664
677, 702, 685
645, 662, 645
634, 652, 635
640, 662, 645
646, 673, 653
664, 691, 666
694, 723, 693
736, 761, 729
726, 750, 729
697, 722, 702
658, 690, 667
633, 656, 626
636, 658, 635
709, 723, 694
924, 929, 897
3712, 3848, 3807
4223, 4415, 4303
3404, 3584, 3414
3401, 3583, 3395
